landname, hauptstadt, bilddatei
Abchasien,Sochumi,Flag_of_the_Republic_of_Abkhazia.svg.png
Afghanistan,Kabul,Flag_of_Afghanistan_(2013–2021).svg.png
Ägypten,Kairo,Flag_of_Egypt.svg.png
Albanien,Tirana,Flag_of_Egypt.svg.png
Algerien,Algier,Flag_of_Algeria.svg.png
Andorra,Andorra la Vella,Flag_of_Algeria.svg.png
Angola,Luanda,Flag_of_Angola.svg.png
Antigua und Barbuda,Saint John’s,Flag_of_Antigua_and_Barbuda.svg.png
Äquatorialguinea,Malabo (de jure),Flag_of_Equatorial_Guinea.svg.png
Argentinien,Buenos Aires,Flag_of_Argentina.svg.png
Armenien,Jerewan,Flag_of_Armenia.svg.png
Aserbaidschan,Baku,Flag_of_Azerbaijan.svg.png
Äthiopien,Addis Abeba,Flag_of_Ethiopia.svg.png
Australien,Canberra,Flag_of_Australia_(converted).svg.png
Bahamas,Nassau,Flag_of_the_Bahamas.svg.png
Bahrain,Manama,Flag_of_Bahrain.svg.png
Bangladesch,Dhaka,Flag_of_Bangladesh.svg.png
Barbados,Bridgetown,Flag_of_Barbados.svg.png
Belarus,Minsk,Flag_of_Belarus.svg.png
Belgien,Brüssel,Flag_of_Belgium.svg.png
Belize,Belmopan,Flag_of_Belize.svg.png
Benin,Porto-Novo,Flag_of_Benin.svg.png
Bhutan,Thimphu,Flag_of_Bhutan.svg.png
Bolivien,Sucre,Flag_of_Bolivia.svg.png
Bosnien und Herzegowina,Sarajevo,Flag_of_Bosnia_and_Herzegovina.svg.png
Botswana,Gaborone,Flag_of_Botswana.svg.png
Brasilien,Brasília,Flag_of_Brazil.svg.png
Brunei,Bandar Seri Begawan,Flag_of_Brunei.svg.png
Bulgarien,Sofia,Flag_of_Bulgaria.svg.png
Burkina Faso,Ouagadougou,Flag_of_Burkina_Faso.svg.png
Burundi,Gitega,Flag_of_Burundi.svg.png
Chile,Santiago de Chile,Flag_of_Chile.svg.png
China, Republik Taipeh,Flag_of_the_Republic_of_China.svg.png
